iter	Passed	Remaining
674	1315	633
675	1317	631
676	1318	629
677	1320	626
678	1321	624
679	1322	622
680	1324	620
681	1325	618
682	1327	615
683	1328	613
684	1330	611
685	1331	609
686	1333	607
687	1334	605
688	1336	603
689	1337	600
690	1338	598
691	1340	596
692	1341	594
693	1343	592
694	1345	590
695	1346	588
696	1348	586
697	1349	583
698	1351	581
699	1352	579
700	1354	577
701	1355	575
702	1356	573
703	1358	571
704	1360	569
705	1361	566
706	1362	564
707	1363	562
708	1365	560
709	1366	558
710	1368	556
711	1369	554
712	1370	551
713	1372	549
714	1374	547
715	1375	545
716	1377	543
717	1378	541
718	1380	539
719	1381	537
720	1383	535
721	1384	533
722	1385	530
723	1387	528
724	1389	526
725	1390	524
726	1392	522
727	1393	520
728	1395	518
729	1396	516
730	1397	514
731	1399	512
732	1400	510
733	1402	508
734	1404	506
735	1405	504
736	1407	502
737	1408	500
738	1410	498
739	1411	495
740	1413	493
741	1414	491
742	1415	489
743	1417	487
744	1418	485
745	1420	483
746	1422	481
747	1423	479
748	1425	477
749	1426	475
750	1428	473
751	1429	471
752	1430	469
753	1432	467
754	1433	465
755	1435	463
756	1436	461
757	1438	459
758	1439	457
759	1441	455
760	1442	453
761	1444	451
762	1445	449
763	1447	447
764	1448	445
765	1450	443
766	1452	441
767	1453	439
768	1455	437
769	1456	435
770	1457	433
771	1459	431
772	1460	428
773	1462	426
774	1463	424
775	1465	422
776	1466	420
777	1468	418
778	1469	416
779	1471	414
780	1472	412
781	1474	410
782	1475	408
783	1476	406
784	1478	404
785	1479	402
786	1481	401
787	1483	399
788	1484	397
789	1486	395
790	1487	393
791	1489	391
792	1490	389
793	1491	387
794	1493	385
795	1495	383
796	1497	381
797	1498	379
798	1499	377
799	1501	375
800	1502	373
801	1504	371
802	1505	369
803	1506	367
804	1508	365
805	1509	363
806	1511	361
807	1512	359
808	1514	357
809	1515	355
810	1517	353
811	1518	351
812	1520	349
813	1521	347
814	1523	345
815	1524	343
816	1526	341
817	1527	339
818	1529	337
819	1530	336
820	1532	334
821	1533	332
822	1534	330
823	1536	328
824	1537	326
825	1539	324
826	1540	322
827	1542	320
828	1543	318
829	1545	316
830	1546	314
831	1548	312
832	1549	310
833	1551	308
834	1552	306
835	1553	304
836	1555	302
837	1557	301
838	1558	299
839	1560	297
840	1561	295
841	1563	293
842	1564	291
843	1566	289
844	1567	287
845	1568	285
846	1570	283
847	1572	281
848	1573	279
849	1575	277
850	1576	276
851	1577	274
852	1579	272
853	1580	270
854	1582	268
855	1583	266
856	1584	264
857	1586	262
858	1588	260
859	1589	258
860	1590	256
861	1592	254
862	1593	252
863	1595	251
864	1596	249
865	1597	247
866	1599	245
867	1600	243
868	1602	241
869	1604	239
870	1605	237
871	1607	235
872	1608	234
873	1609	232
874	1611	230
875	1613	228
876	1614	226
877	1616	224
878	1618	222
879	1619	220
880	1620	218
881	1622	217
882	1623	215
883	1625	213
884	1626	211
885	1628	209
886	1629	207
887	1631	205
888	1633	203
889	1634	202
890	1636	200
891	1637	198
892	1639	196
893	1640	194
894	1642	192
895	1643	190
896	1645	188
897	1647	187
898	1648	185
899	1650	183
900	1651	181
901	1652	179
902	1654	177
903	1655	175
904	1657	173
905	1659	172
906	1660	170
907	1662	168
908	1664	166
909	1666	164
910	1667	162
911	1669	161
912	1670	159
913	1672	157
914	1673	155
915	1675	153
916	1677	151
917	1678	149
918	1680	148
919	1681	146
920	1682	144
921	1684	142
922	1686	140
923	1687	138
924	1689	136
925	1690	135
926	1692	133
927	1694	131
928	1696	129
929	1697	127
930	1699	125
931	1700	124
932	1701	122
933	1703	120
934	1704	118
935	1706	116
936	1708	114
937	1710	113
938	1712	111
939	1713	109
940	1715	107
941	1717	105
942	1718	103
943	1720	102
944	1722	100
945	1724	98
946	1725	96
947	1727	94
948	1729	92
949	1731	91
950	1733	89
951	1734	87
952	1736	85
953	1738	83
954	1740	82
955	1742	80
956	1744	78
957	1746	76
958	1747	74
959	1749	72
960	1751	71
961	1753	69
962	1754	67
963	1756	65
964	1758	63
965	1759	61
966	1761	60
967	1763	58
968	1765	56
969	1767	54
970	1768	52
971	1770	51
972	1771	49
973	1773	47
974	1775	45
975	1777	43
976	1778	41
977	1780	40
978	1782	38
979	1783	36
980	1785	34
981	1787	32
982	1788	30
983	1790	29
984	1791	27
985	1793	25
986	1794	23
987	1796	21
988	1798	19
989	1799	18
990	1801	16
991	1802	14
992	1804	12
993	1805	10
994	1807	9
995	1808	7
996	1810	5
997	1812	3
998	1813	1
999	1815	0
